TOP.60cb7acd.000cef28	START
TOP.60cb7ad2.0003ae05	START
TOP.60cb7ad2.0003ae05	folder_config->cwd	D:\U\Cripto\Tarea 4_21\t4
TOP.60cb7ad2.0003ae05	folder_config->install_dir	.
TOP.60cb7ad2.0003ae05	folder_config->profile_dir	.
TOP.60cb7ad2.0003ae05	folder_config->session_dir	.
TOP.60cb7ad2.0003ae05	folder_config->shared_dir	.
TOP.60cb7ad2.0003ae05	user_options->separator	:
TOP.60cb7ad2.0003ae05	user_options->encoding_from	utf-8
TOP.60cb7ad2.0003ae05	user_options->encoding_to	utf-8
TOP.60cb7ad2.0003ae05	user_options->outfile	crack1.txt
TOP.60cb7ad2.0003ae05	user_options->rule_buf_l	:
TOP.60cb7ad2.0003ae05	user_options->rule_buf_r	:
TOP.60cb7ad2.0003ae05	user_options->session	hashcat
TOP.60cb7ad2.0003ae05	user_options->limit	0
TOP.60cb7ad2.0003ae05	user_options->skip	0
TOP.60cb7ad2.0003ae05	user_options->attack_mode	0
TOP.60cb7ad2.0003ae05	user_options->benchmark	0
TOP.60cb7ad2.0003ae05	user_options->benchmark_all	0
TOP.60cb7ad2.0003ae05	user_options->bitmap_max	18
TOP.60cb7ad2.0003ae05	user_options->bitmap_min	16
TOP.60cb7ad2.0003ae05	user_options->debug_mode	0
TOP.60cb7ad2.0003ae05	user_options->example_hashes	0
TOP.60cb7ad2.0003ae05	user_options->force	0
TOP.60cb7ad2.0003ae05	user_options->hwmon_disable	0
TOP.60cb7ad2.0003ae05	user_options->hwmon_temp_abort	90
TOP.60cb7ad2.0003ae05	user_options->hash_mode	0
TOP.60cb7ad2.0003ae05	user_options->hex_charset	0
TOP.60cb7ad2.0003ae05	user_options->hex_salt	0
TOP.60cb7ad2.0003ae05	user_options->hex_wordlist	0
TOP.60cb7ad2.0003ae05	user_options->hook_threads	8
TOP.60cb7ad2.0003ae05	user_options->increment	0
TOP.60cb7ad2.0003ae05	user_options->increment_max	256
TOP.60cb7ad2.0003ae05	user_options->increment_min	1
TOP.60cb7ad2.0003ae05	user_options->keep_guessing	0
TOP.60cb7ad2.0003ae05	user_options->kernel_accel	0
TOP.60cb7ad2.0003ae05	user_options->kernel_loops	0
TOP.60cb7ad2.0003ae05	user_options->kernel_threads	0
TOP.60cb7ad2.0003ae05	user_options->keyspace	0
TOP.60cb7ad2.0003ae05	user_options->left	0
TOP.60cb7ad2.0003ae05	user_options->logfile_disable	0
TOP.60cb7ad2.0003ae05	user_options->loopback	0
TOP.60cb7ad2.0003ae05	user_options->machine_readable	0
TOP.60cb7ad2.0003ae05	user_options->markov_classic	0
TOP.60cb7ad2.0003ae05	user_options->markov_disable	0
TOP.60cb7ad2.0003ae05	user_options->markov_threshold	256
TOP.60cb7ad2.0003ae05	user_options->backend_info	0
TOP.60cb7ad2.0003ae05	user_options->backend_vector_width	0
TOP.60cb7ad2.0003ae05	user_options->optimized_kernel_enable	0
TOP.60cb7ad2.0003ae05	user_options->outfile_autohex	1
TOP.60cb7ad2.0003ae05	user_options->outfile_check_timer	5
TOP.60cb7ad2.0003ae05	user_options->outfile_format	3
TOP.60cb7ad2.0003ae05	user_options->wordlist_autohex_disable	0
TOP.60cb7ad2.0003ae05	user_options->potfile_disable	1
TOP.60cb7ad2.0003ae05	user_options->progress_only	0
TOP.60cb7ad2.0003ae05	user_options->quiet	0
TOP.60cb7ad2.0003ae05	user_options->remove	0
TOP.60cb7ad2.0003ae05	user_options->remove_timer	60
TOP.60cb7ad2.0003ae05	user_options->restore	0
TOP.60cb7ad2.0003ae05	user_options->restore_disable	0
TOP.60cb7ad2.0003ae05	user_options->restore_timer	60
TOP.60cb7ad2.0003ae05	user_options->rp_files_cnt	0
TOP.60cb7ad2.0003ae05	user_options->rp_gen	0
TOP.60cb7ad2.0003ae05	user_options->rp_gen_func_max	4
TOP.60cb7ad2.0003ae05	user_options->rp_gen_func_min	1
TOP.60cb7ad2.0003ae05	user_options->rp_gen_seed	0
TOP.60cb7ad2.0003ae05	user_options->runtime	0
TOP.60cb7ad2.0003ae05	user_options->scrypt_tmto	0
TOP.60cb7ad2.0003ae05	user_options->segment_size	33554432
TOP.60cb7ad2.0003ae05	user_options->self_test_disable	0
TOP.60cb7ad2.0003ae05	user_options->slow_candidates	0
TOP.60cb7ad2.0003ae05	user_options->show	0
TOP.60cb7ad2.0003ae05	user_options->speed_only	0
TOP.60cb7ad2.0003ae05	user_options->spin_damp	0
TOP.60cb7ad2.0003ae05	user_options->status	0
TOP.60cb7ad2.0003ae05	user_options->status_json	0
TOP.60cb7ad2.0003ae05	user_options->status_timer	10
TOP.60cb7ad2.0003ae05	user_options->stdout_flag	0
TOP.60cb7ad2.0003ae05	user_options->usage	0
TOP.60cb7ad2.0003ae05	user_options->username	0
TOP.60cb7ad2.0003ae05	user_options->veracrypt_pim_start	485
TOP.60cb7ad2.0003ae05	user_options->veracrypt_pim_stop	485
TOP.60cb7ad2.0003ae05	user_options->version	0
TOP.60cb7ad2.0003ae05	user_options->workload_profile	2
TOP.60cb7ad2.0003ae05	user_options->brain_client	0
TOP.60cb7ad2.0003ae05	user_options->brain_client_features	2
TOP.60cb7ad2.0003ae05	user_options->brain_server	0
TOP.60cb7ad2.0003ae05	user_options->brain_server_timer	300
TOP.60cb7ad2.0003ae05	user_options->brain_port	6863
TOP.60cb7ad2.0003ae05	user_options->brain_session	0
TOP.60cb7ad2.0003ae05	hashes->hashfile	Hashes/archivo_1
TOP.60cb7ad2.0003ae05	hashes->hashlist_mode	5
TOP.60cb7ad2.0003ae05	hashes->hashlist_format	0
TOP.60cb7ad2.0003ae05	hashes->hashes_cnt	0
TOP.60cb7ad2.0003ae05	hashes->digests_cnt	1000
TOP.60cb7ad2.0003ae05	hashes->digests_done	0
TOP.60cb7ad2.0003ae05	hashes->salts_cnt	1
TOP.60cb7ad2.0003ae05	hashes->salts_done	0
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.0005fc2c	START
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.0005fc2c	straight_ctx->dict	diccionarios/diccionario_1.dict
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.0005fc2c	runtime_start	1623947986
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.0005fc2c	runtime_stop	1623947986
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.0005fc2c	status-after-work	5
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.0005fc2c	STOP
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.000d07b8	START
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.000d07b8	straight_ctx->dict	diccionarios/diccionario_2.dict
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.000d07b8	runtime_start	1623947986
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.000d07b8	runtime_stop	1623947990
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.000d07b8	status-after-work	6
TOP.60cb7ad2.0003ae05	SUB.60cb7ad2.000d07b8	STOP
TOP.60cb7ad2.0003ae05	proc_start	1623947986
TOP.60cb7ad2.0003ae05	proc_stop	1623947990
TOP.60cb7ad2.0003ae05	STOP
TOP.60cb7af2.000a4a4f	START
TOP.60cb7af2.000a4a4f	folder_config->cwd	D:\U\Cripto\Tarea 4_21\t4
TOP.60cb7af2.000a4a4f	folder_config->install_dir	.
TOP.60cb7af2.000a4a4f	folder_config->profile_dir	.
TOP.60cb7af2.000a4a4f	folder_config->session_dir	.
TOP.60cb7af2.000a4a4f	folder_config->shared_dir	.
TOP.60cb7af2.000a4a4f	user_options->separator	:
TOP.60cb7af2.000a4a4f	user_options->encoding_from	utf-8
TOP.60cb7af2.000a4a4f	user_options->encoding_to	utf-8
TOP.60cb7af2.000a4a4f	user_options->outfile	crack2.txt
TOP.60cb7af2.000a4a4f	user_options->rule_buf_l	:
TOP.60cb7af2.000a4a4f	user_options->rule_buf_r	:
TOP.60cb7af2.000a4a4f	user_options->session	hashcat
TOP.60cb7af2.000a4a4f	user_options->limit	0
TOP.60cb7af2.000a4a4f	user_options->skip	0
TOP.60cb7af2.000a4a4f	user_options->attack_mode	0
TOP.60cb7af2.000a4a4f	user_options->benchmark	0
TOP.60cb7af2.000a4a4f	user_options->benchmark_all	0
TOP.60cb7af2.000a4a4f	user_options->bitmap_max	18
TOP.60cb7af2.000a4a4f	user_options->bitmap_min	16
TOP.60cb7af2.000a4a4f	user_options->debug_mode	0
TOP.60cb7af2.000a4a4f	user_options->example_hashes	0
TOP.60cb7af2.000a4a4f	user_options->force	0
TOP.60cb7af2.000a4a4f	user_options->hwmon_disable	0
TOP.60cb7af2.000a4a4f	user_options->hwmon_temp_abort	90
TOP.60cb7af2.000a4a4f	user_options->hash_mode	10
TOP.60cb7af2.000a4a4f	user_options->hex_charset	0
TOP.60cb7af2.000a4a4f	user_options->hex_salt	0
TOP.60cb7af2.000a4a4f	user_options->hex_wordlist	0
TOP.60cb7af2.000a4a4f	user_options->hook_threads	8
TOP.60cb7af2.000a4a4f	user_options->increment	0
TOP.60cb7af2.000a4a4f	user_options->increment_max	256
TOP.60cb7af2.000a4a4f	user_options->increment_min	1
TOP.60cb7af2.000a4a4f	user_options->keep_guessing	0
TOP.60cb7af2.000a4a4f	user_options->kernel_accel	0
TOP.60cb7af2.000a4a4f	user_options->kernel_loops	0
TOP.60cb7af2.000a4a4f	user_options->kernel_threads	0
TOP.60cb7af2.000a4a4f	user_options->keyspace	0
TOP.60cb7af2.000a4a4f	user_options->left	0
TOP.60cb7af2.000a4a4f	user_options->logfile_disable	0
TOP.60cb7af2.000a4a4f	user_options->loopback	0
TOP.60cb7af2.000a4a4f	user_options->machine_readable	0
TOP.60cb7af2.000a4a4f	user_options->markov_classic	0
TOP.60cb7af2.000a4a4f	user_options->markov_disable	0
TOP.60cb7af2.000a4a4f	user_options->markov_threshold	256
TOP.60cb7af2.000a4a4f	user_options->backend_info	0
TOP.60cb7af2.000a4a4f	user_options->backend_vector_width	0
TOP.60cb7af2.000a4a4f	user_options->optimized_kernel_enable	0
TOP.60cb7af2.000a4a4f	user_options->outfile_autohex	1
TOP.60cb7af2.000a4a4f	user_options->outfile_check_timer	5
TOP.60cb7af2.000a4a4f	user_options->outfile_format	3
TOP.60cb7af2.000a4a4f	user_options->wordlist_autohex_disable	0
TOP.60cb7af2.000a4a4f	user_options->potfile_disable	1
TOP.60cb7af2.000a4a4f	user_options->progress_only	0
TOP.60cb7af2.000a4a4f	user_options->quiet	0
TOP.60cb7af2.000a4a4f	user_options->remove	0
TOP.60cb7af2.000a4a4f	user_options->remove_timer	60
TOP.60cb7af2.000a4a4f	user_options->restore	0
TOP.60cb7af2.000a4a4f	user_options->restore_disable	0
TOP.60cb7af2.000a4a4f	user_options->restore_timer	60
TOP.60cb7af2.000a4a4f	user_options->rp_files_cnt	0
TOP.60cb7af2.000a4a4f	user_options->rp_gen	0
TOP.60cb7af2.000a4a4f	user_options->rp_gen_func_max	4
TOP.60cb7af2.000a4a4f	user_options->rp_gen_func_min	1
TOP.60cb7af2.000a4a4f	user_options->rp_gen_seed	0
TOP.60cb7af2.000a4a4f	user_options->runtime	0
TOP.60cb7af2.000a4a4f	user_options->scrypt_tmto	0
TOP.60cb7af2.000a4a4f	user_options->segment_size	33554432
TOP.60cb7af2.000a4a4f	user_options->self_test_disable	0
TOP.60cb7af2.000a4a4f	user_options->slow_candidates	0
TOP.60cb7af2.000a4a4f	user_options->show	0
TOP.60cb7af2.000a4a4f	user_options->speed_only	0
TOP.60cb7af2.000a4a4f	user_options->spin_damp	0
TOP.60cb7af2.000a4a4f	user_options->status	0
TOP.60cb7af2.000a4a4f	user_options->status_json	0
TOP.60cb7af2.000a4a4f	user_options->status_timer	10
TOP.60cb7af2.000a4a4f	user_options->stdout_flag	0
TOP.60cb7af2.000a4a4f	user_options->usage	0
TOP.60cb7af2.000a4a4f	user_options->username	0
TOP.60cb7af2.000a4a4f	user_options->veracrypt_pim_start	485
TOP.60cb7af2.000a4a4f	user_options->veracrypt_pim_stop	485
TOP.60cb7af2.000a4a4f	user_options->version	0
TOP.60cb7af2.000a4a4f	user_options->workload_profile	2
TOP.60cb7af2.000a4a4f	user_options->brain_client	0
TOP.60cb7af2.000a4a4f	user_options->brain_client_features	2
TOP.60cb7af2.000a4a4f	user_options->brain_server	0
TOP.60cb7af2.000a4a4f	user_options->brain_server_timer	300
TOP.60cb7af2.000a4a4f	user_options->brain_port	6863
TOP.60cb7af2.000a4a4f	user_options->brain_session	0
TOP.60cb7af2.000a4a4f	hashes->hashfile	Hashes/archivo_2
TOP.60cb7af2.000a4a4f	hashes->hashlist_mode	5
TOP.60cb7af2.000a4a4f	hashes->hashlist_format	0
TOP.60cb7af2.000a4a4f	hashes->hashes_cnt	0
TOP.60cb7af2.000a4a4f	hashes->digests_cnt	1000
TOP.60cb7af2.000a4a4f	hashes->digests_done	0
TOP.60cb7af2.000a4a4f	hashes->salts_cnt	1
TOP.60cb7af2.000a4a4f	hashes->salts_done	0
TOP.60cb7af2.000a4a4f	SUB.60cb7af2.000ccc34	START
TOP.60cb7af2.000a4a4f	SUB.60cb7af2.000ccc34	straight_ctx->dict	diccionarios/diccionario_1.dict
TOP.60cb7af2.000a4a4f	SUB.60cb7af2.000ccc34	runtime_start	1623948019
TOP.60cb7af2.000a4a4f	SUB.60cb7af2.000ccc34	runtime_stop	1623948019
TOP.60cb7af2.000a4a4f	SUB.60cb7af2.000ccc34	status-after-work	5
TOP.60cb7af2.000a4a4f	SUB.60cb7af2.000ccc34	STOP
TOP.60cb7af2.000a4a4f	SUB.60cb7af3.0004a17a	START
TOP.60cb7af2.000a4a4f	SUB.60cb7af3.0004a17a	straight_ctx->dict	diccionarios/diccionario_2.dict
TOP.60cb7af2.000a4a4f	SUB.60cb7af3.0004a17a	runtime_start	1623948019
TOP.60cb7af2.000a4a4f	SUB.60cb7af3.0004a17a	runtime_stop	1623948022
TOP.60cb7af2.000a4a4f	SUB.60cb7af3.0004a17a	status-after-work	6
TOP.60cb7af2.000a4a4f	SUB.60cb7af3.0004a17a	STOP
TOP.60cb7af2.000a4a4f	proc_start	1623948018
TOP.60cb7af2.000a4a4f	proc_stop	1623948023
TOP.60cb7af2.000a4a4f	STOP
TOP.60cb7b11.0002b3f9	START
TOP.60cb7b11.0002b3f9	folder_config->cwd	D:\U\Cripto\Tarea 4_21\t4
TOP.60cb7b11.0002b3f9	folder_config->install_dir	.
TOP.60cb7b11.0002b3f9	folder_config->profile_dir	.
TOP.60cb7b11.0002b3f9	folder_config->session_dir	.
TOP.60cb7b11.0002b3f9	folder_config->shared_dir	.
TOP.60cb7b11.0002b3f9	user_options->separator	:
TOP.60cb7b11.0002b3f9	user_options->encoding_from	utf-8
TOP.60cb7b11.0002b3f9	user_options->encoding_to	utf-8
TOP.60cb7b11.0002b3f9	user_options->outfile	crack3.txt
TOP.60cb7b11.0002b3f9	user_options->rule_buf_l	:
TOP.60cb7b11.0002b3f9	user_options->rule_buf_r	:
TOP.60cb7b11.0002b3f9	user_options->session	hashcat
TOP.60cb7b11.0002b3f9	user_options->limit	0
TOP.60cb7b11.0002b3f9	user_options->skip	0
TOP.60cb7b11.0002b3f9	user_options->attack_mode	0
TOP.60cb7b11.0002b3f9	user_options->benchmark	0
TOP.60cb7b11.0002b3f9	user_options->benchmark_all	0
TOP.60cb7b11.0002b3f9	user_options->bitmap_max	18
TOP.60cb7b11.0002b3f9	user_options->bitmap_min	16
TOP.60cb7b11.0002b3f9	user_options->debug_mode	0
TOP.60cb7b11.0002b3f9	user_options->example_hashes	0
TOP.60cb7b11.0002b3f9	user_options->force	0
TOP.60cb7b11.0002b3f9	user_options->hwmon_disable	0
TOP.60cb7b11.0002b3f9	user_options->hwmon_temp_abort	90
TOP.60cb7b11.0002b3f9	user_options->hash_mode	10
TOP.60cb7b11.0002b3f9	user_options->hex_charset	0
TOP.60cb7b11.0002b3f9	user_options->hex_salt	0
TOP.60cb7b11.0002b3f9	user_options->hex_wordlist	0
TOP.60cb7b11.0002b3f9	user_options->hook_threads	8
TOP.60cb7b11.0002b3f9	user_options->increment	0
TOP.60cb7b11.0002b3f9	user_options->increment_max	256
TOP.60cb7b11.0002b3f9	user_options->increment_min	1
TOP.60cb7b11.0002b3f9	user_options->keep_guessing	0
TOP.60cb7b11.0002b3f9	user_options->kernel_accel	0
TOP.60cb7b11.0002b3f9	user_options->kernel_loops	0
TOP.60cb7b11.0002b3f9	user_options->kernel_threads	0
TOP.60cb7b11.0002b3f9	user_options->keyspace	0
TOP.60cb7b11.0002b3f9	user_options->left	0
TOP.60cb7b11.0002b3f9	user_options->logfile_disable	0
TOP.60cb7b11.0002b3f9	user_options->loopback	0
TOP.60cb7b11.0002b3f9	user_options->machine_readable	0
TOP.60cb7b11.0002b3f9	user_options->markov_classic	0
TOP.60cb7b11.0002b3f9	user_options->markov_disable	0
TOP.60cb7b11.0002b3f9	user_options->markov_threshold	256
TOP.60cb7b11.0002b3f9	user_options->backend_info	0
TOP.60cb7b11.0002b3f9	user_options->backend_vector_width	0
TOP.60cb7b11.0002b3f9	user_options->optimized_kernel_enable	0
TOP.60cb7b11.0002b3f9	user_options->outfile_autohex	1
TOP.60cb7b11.0002b3f9	user_options->outfile_check_timer	5
TOP.60cb7b11.0002b3f9	user_options->outfile_format	3
TOP.60cb7b11.0002b3f9	user_options->wordlist_autohex_disable	0
TOP.60cb7b11.0002b3f9	user_options->potfile_disable	1
TOP.60cb7b11.0002b3f9	user_options->progress_only	0
TOP.60cb7b11.0002b3f9	user_options->quiet	0
TOP.60cb7b11.0002b3f9	user_options->remove	0
TOP.60cb7b11.0002b3f9	user_options->remove_timer	60
TOP.60cb7b11.0002b3f9	user_options->restore	0
TOP.60cb7b11.0002b3f9	user_options->restore_disable	0
TOP.60cb7b11.0002b3f9	user_options->restore_timer	60
TOP.60cb7b11.0002b3f9	user_options->rp_files_cnt	0
TOP.60cb7b11.0002b3f9	user_options->rp_gen	0
TOP.60cb7b11.0002b3f9	user_options->rp_gen_func_max	4
TOP.60cb7b11.0002b3f9	user_options->rp_gen_func_min	1
TOP.60cb7b11.0002b3f9	user_options->rp_gen_seed	0
TOP.60cb7b11.0002b3f9	user_options->runtime	0
TOP.60cb7b11.0002b3f9	user_options->scrypt_tmto	0
TOP.60cb7b11.0002b3f9	user_options->segment_size	33554432
TOP.60cb7b11.0002b3f9	user_options->self_test_disable	0
TOP.60cb7b11.0002b3f9	user_options->slow_candidates	0
TOP.60cb7b11.0002b3f9	user_options->show	0
TOP.60cb7b11.0002b3f9	user_options->speed_only	0
TOP.60cb7b11.0002b3f9	user_options->spin_damp	0
TOP.60cb7b11.0002b3f9	user_options->status	0
TOP.60cb7b11.0002b3f9	user_options->status_json	0
TOP.60cb7b11.0002b3f9	user_options->status_timer	10
TOP.60cb7b11.0002b3f9	user_options->stdout_flag	0
TOP.60cb7b11.0002b3f9	user_options->usage	0
TOP.60cb7b11.0002b3f9	user_options->username	0
TOP.60cb7b11.0002b3f9	user_options->veracrypt_pim_start	485
TOP.60cb7b11.0002b3f9	user_options->veracrypt_pim_stop	485
TOP.60cb7b11.0002b3f9	user_options->version	0
TOP.60cb7b11.0002b3f9	user_options->workload_profile	2
TOP.60cb7b11.0002b3f9	user_options->brain_client	0
TOP.60cb7b11.0002b3f9	user_options->brain_client_features	2
TOP.60cb7b11.0002b3f9	user_options->brain_server	0
TOP.60cb7b11.0002b3f9	user_options->brain_server_timer	300
TOP.60cb7b11.0002b3f9	user_options->brain_port	6863
TOP.60cb7b11.0002b3f9	user_options->brain_session	0
TOP.60cb7b11.0002b3f9	hashes->hashfile	Hashes/archivo_3
TOP.60cb7b11.0002b3f9	hashes->hashlist_mode	5
TOP.60cb7b11.0002b3f9	hashes->hashlist_format	0
TOP.60cb7b11.0002b3f9	hashes->hashes_cnt	0
TOP.60cb7b11.0002b3f9	hashes->digests_cnt	1000
TOP.60cb7b11.0002b3f9	hashes->digests_done	0
TOP.60cb7b11.0002b3f9	hashes->salts_cnt	1000
TOP.60cb7b11.0002b3f9	hashes->salts_done	0
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.0005132e	START
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.0005132e	straight_ctx->dict	diccionarios/diccionario_1.dict
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.0005132e	runtime_start	1623948049
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.0005132e	runtime_stop	1623948049
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.0005132e	status-after-work	5
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.0005132e	STOP
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.000de259	START
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.000de259	straight_ctx->dict	diccionarios/diccionario_2.dict
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.000de259	runtime_start	1623948050
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.000de259	runtime_stop	1623948053
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.000de259	status-after-work	6
TOP.60cb7b11.0002b3f9	SUB.60cb7b11.000de259	STOP
TOP.60cb7b11.0002b3f9	proc_start	1623948049
TOP.60cb7b11.0002b3f9	proc_stop	1623948053
TOP.60cb7b11.0002b3f9	STOP
TOP.60cb7b5c.00087aee	START
TOP.60cb7b5c.00087aee	folder_config->cwd	D:\U\Cripto\Tarea 4_21\t4
TOP.60cb7b5c.00087aee	folder_config->install_dir	.
TOP.60cb7b5c.00087aee	folder_config->profile_dir	.
